"","gamePlayId","playSide","possessionTeam","ballCarrierId","defensiveTeam","edgeSetterId_atMaxChange","frames_from_start_atMaxChange","total_change_at_max_change","relative_total_change","max_EIR_atMaxChange","expectedPointsAdded"
"1","2022090800 1187","right","LA",47853,"BUF",47792,9,12.8558241461799,12.8558241461799,80.6332179999135,-0.042901202
"2","2022090800 2043","right","BUF",47857,"LA",43298,24,9.2161450864468,3.46385491355323,37.4045604108738,0.674549397
"3","2022090800 299","left","LA",47853,"BUF",47792,10,15.2395999726269,-9.20040002737306,54.3137785294558,-0.105841165
"4","2022090800 3145","left","LA",47853,"BUF",46085,15,29.7937913602498,-29.7937913602498,86.3355061828335,1.852996814
"5","2022090800 3283","right","BUF",47857,"LA",38577,15,10.8925840393282,7.8874159606719,73.7472917662085,-0.054717398
"6","2022090800 3341","left","LA",47853,"BUF",52462,8,16.499323054987,-10.300676945013,59.2496346483036,0.752520209
"7","2022090800 3362","left","LA",47853,"BUF",52462,6,20.7004926632919,-17.7395073367081,76.1707962901152,-0.722854386
"8","2022090800 343","left","LA",47853,"BUF",47792,12,21.8097847765666,-21.8097847765666,69.0723976986431,-0.737179452
"9","2022090800 3636","right","LA",47853,"BUF",53490,6,15.0089435962857,15.0089435962857,73.2289449228909,-0.747978361
"10","2022090800 896","right","BUF",54528,"LA",43298,11,9.00417931686648,9.00417931686648,57.6841498041034,-4.717964267
"11","2022091100 1046","right","ATL",39975,"NO",37097,6,11.586982629396,11.586982629396,55.6685751195574,0.617897772
"12","2022091100 1088","right","ATL",39975,"NO",53489,11,10.2407853857401,7.53921461425995,62.9893551523463,1.356858938
"13","2022091100 1260","left","ATL",39975,"NO",43409,19,29.4641300435001,-29.4641300435002,86.8373407601251,0.523080678
"14","2022091100 1413","left","NO",44879,"ATL",48520,6,7.63186353512565,-4.52813646487439,47.4491083933411,0.093078491
"15","2022091100 1651","left","ATL",39975,"NO",48537,15,14.5075238077204,-14.5075238077204,53.9235990632976,0.130479397
"16","2022091100 2332","left","ATL",39975,"NO",48537,7,22.1842057672872,-8.33579423271277,63.0894336427557,0.736084388
"17","2022091100 2491","left","NO",44879,"ATL",46135,4,14.1083183370286,-5.61168166297139,59.0575053898684,0.98075755
"18","2022091100 2595","right","ATL",39975,"NO",46197,11,25.1020005535333,25.1020005535333,64.7136558776806,-0.296223967
"19","2022091100 2741","right","NO",37101,"ATL",53611,9,11.0171236074903,11.0171236074903,53.7243100669908,-0.47855791
"20","2022091100 2899","left","ATL",53612,"NO",46083,9,6.17074268392549,-0.409257316074502,58.5966537609137,-0.456967111
"21","2022091100 3778","right","ATL",39975,"NO",46197,4,16.5964895703644,13.0435104296357,63.707984096374,0.051846095
"22","2022091100 3888","right","ATL",39975,"NO",43409,12,15.6216086050431,5.13839139495678,78.7965327385671,-0.62212576
"23","2022091100 762","right","NO",37101,"ATL",46135,4,8.14224469156494,8.14224469156494,60.4994985190068,1.208457374
"24","2022091100 78","left","ATL",39975,"NO",48544,17,13.1424177657247,-13.1424177657248,50.3377651596818,0.155374359
"25","2022091100 807","right","NO",44879,"ATL",52527,11,17.1879017448087,17.1879017448087,80.4204557840428,-0.53801542
"26","2022091101 158","left","CLE",46104,"CAR",52446,7,7.39454653643222,-6.70545346356769,50.670556028997,0.960908995
"27","2022091101 1980","right","CLE",46104,"CAR",47799,8,10.9568118402203,10.9568118402203,79.2108318723935,0.614536994
"28","2022091101 2001","right","CLE",46104,"CAR",46527,12,18.0807925218396,18.0807925218396,52.4296109415335,0.549077321
"29","2022091101 213","right","CLE",46104,"CAR",47799,11,7.30267985157229,7.30267985157229,46.0463895512574,-0.619540761
"30","2022091101 2501","left","CLE",44898,"CAR",46205,8,9.14409008100154,-4.53590991899847,52.0269595706895,-0.220429361
"31","2022091101 2545","left","CLE",44898,"CAR",43797,7,29.0674131912098,-29.0674131912099,60.8164407190725,-0.782462482
"32","2022091101 2629","left","CAR",44820,"CLE",52496,12,20.0328114766482,-20.0328114766482,79.6231929854734,-0.211440924
"33","2022091101 2683","left","CAR",44901,"CLE",44813,6,9.3020300511586,-8.23796994884148,61.6798519530462,0.011077044
"34","2022091101 2783","left","CLE",44898,"CAR",47799,7,13.2752272177405,13.2752272177405,59.9007237525798,-0.570069516
"35","2022091101 296","right","CLE",46104,"CAR",47799,3,7.60722844846197,-0.792771551537896,41.4717523239415,-0.621568256
"36","2022091101 3080","right","CAR",44820,"CLE",41227,2,2.97572449916629,2.97572449916629,62.6232557378836,1.576606796
"37","2022091101 3221","right","CLE",46104,"CAR",46527,6,11.775427798212,11.775427798212,67.1803198603452,-0.50019631
"38","2022091101 3669","right","CLE",46104,"CAR",46527,3,22.7632697936634,22.7632697936634,71.0286442596354,-0.525924984
"39","2022091101 3841","right","CAR",44820,"CLE",52496,5,3.31358996853048,3.31358996853048,65.1999577520119,-0.032513861
"40","2022091101 3923","left","CAR",44820,"CLE",47863,6,29.8362873756006,-29.8362873756005,84.3637706525294,-0.929233469
"41","2022091102 1029","left","CHI",47856,"SF",48123,9,17.228317101905,-17.228317101905,65.792346768737,-0.591250348
"42","2022091102 1050","left","CHI",47856,"SF",47944,7,10.9741493224875,-13.838341690816,63.9756477094786,-0.9792897
"43","2022091102 1588","right","SF",46377,"CHI",45009,12,12.3359461676044,-4.95594616760445,71.279121777273,-0.567258485
"44","2022091102 1837","right","CHI",53646,"SF",42360,3,7.29066319466122,7.29066319466122,56.2194864161194,1.557289191
"45","2022091102 1869","right","CHI",53646,"SF",47785,4,11.3770285300586,11.3770285300586,72.1081935637831,-0.358953469
